student_id,kolokvij1
SYN2023_001,6.11
SYN2023_002,13.85
SYN2023_003,12.72
SYN2023_004,12.06
SYN2023_005,19.91
SYN2023_006,13.75
SYN2023_007,10.49
SYN2023_008,10.57
SYN2023_009,13.08
SYN2023_010,13.55
SYN2023_011,13.51
SYN2023_012,14.08
SYN2023_013,21.6
SYN2023_014,13.69
SYN2023_015,12.84
SYN2023_016,2.42
SYN2023_017,6.13
SYN2023_018,21.85
SYN2023_019,16.28
SYN2023_020,13.61
SYN2023_021,7.64
SYN2023_022,9.88
SYN2023_023,8.08
SYN2023_024,10.34
SYN2023_025,8.65
SYN2023_026,18.97
SYN2023_027,16.45
SYN2023_028,15.24
SYN2023_029,6.41
SYN2023_030,15.28
SYN2023_031,10.24
SYN2023_032,14.89
SYN2023_033,14.76
SYN2023_034,23.48
SYN2023_035,10.8
SYN2023_036,6.46
SYN2023_037,10.28
SYN2023_038,12.44
SYN2023_039,16.71
SYN2023_040,13.6
SYN2023_041,17.1
SYN2023_042,18.24
SYN2023_043,13.49
SYN2023_044,8.75
SYN2023_045,11.62
SYN2023_046,16.05
SYN2023_047,13.17
SYN2023_048,16.45
SYN2023_049,13.78
SYN2023_050,12.65
SYN2023_051,9.26
SYN2023_052,18.54
SYN2023_053,8.06
SYN2023_054,7.81
SYN2023_055,13.92
SYN2023_056,16.81
SYN2023_057,21.16
SYN2023_058,16.97
SYN2023_059,12.92
SYN2023_060,15.54
