student_id,kolokvij1,Vjezbe
SYN2024_001,16.86,6.71
SYN2024_002,12.33,7.37
SYN2024_003,12.42,6.23
SYN2024_004,14.27,4.24
SYN2024_005,10.31,6.7
SYN2024_006,14.88,6.69
SYN2024_007,15.55,7.17
SYN2024_008,15.64,5.7
SYN2024_009,16.99,7.65
SYN2024_010,21.74,8.96
SYN2024_011,21.73,7.46
SYN2024_012,10.97,6.37
SYN2024_013,20.55,7.17
SYN2024_014,18.03,6.1
SYN2024_015,21.12,8.63
SYN2024_016,18.1,6.87
SYN2024_017,20.21,9.12
SYN2024_018,19.4,6.43
SYN2024_019,12.18,7.9
SYN2024_020,25.0,10.0
SYN2024_021,12.4,9.52
SYN2024_022,10.84,7.53
SYN2024_023,15.03,4.92
SYN2024_024,18.31,8.04
SYN2024_025,17.41,4.84
SYN2024_026,12.54,5.94
SYN2024_027,18.16,6.13
SYN2024_028,19.19,5.25
SYN2024_029,19.52,6.2
SYN2024_030,19.79,7.9
SYN2024_031,14.6,6.38
SYN2024_032,23.66,8.86
SYN2024_033,16.14,4.25
SYN2024_034,20.53,4.86
SYN2024_035,22.39,10.0
SYN2024_036,16.98,4.64
SYN2024_037,22.04,5.89
SYN2024_038,16.87,8.4
SYN2024_039,17.78,6.49
SYN2024_040,20.59,9.68
SYN2024_041,8.96,6.0
SYN2024_042,18.15,7.23
SYN2024_043,14.85,5.42
SYN2024_044,14.33,5.61
SYN2024_045,14.2,10.0
SYN2024_046,16.8,5.36
SYN2024_047,13.92,5.28
SYN2024_048,13.77,5.02
SYN2024_049,10.99,5.46
SYN2024_050,13.74,6.82
SYN2024_051,14.46,6.59
SYN2024_052,16.3,7.47
SYN2024_053,16.43,9.27
SYN2024_054,15.27,6.17
SYN2024_055,14.67,6.47
SYN2024_056,22.54,8.52
SYN2024_057,25.0,10.0
SYN2024_058,11.78,6.39
SYN2024_059,20.07,5.97
SYN2024_060,12.57,1.84
