student_id,timestamp,component,context,event_name
SYN2024_001,2024-10-10 14:02:32,File,Datoteka: 7 - Learning material.pdf,Course module viewed
SYN2024_001,2024-10-18 14:03:38,File,Datoteka: 1 - Learning material.pdf,Course module viewed
SYN2024_001,2024-10-28 13:50:17,Assignment,Zadaća: 2,Submission status viewed
SYN2024_001,2024-10-31 14:58:39,File,Datoteka: 4 - Learning material.pdf,Course module viewed
SYN2024_001,2024-10-31 17:15:48,Assignment,Zadaća: 2,Assignment submitted
SYN2024_001,2024-11-02 23:14:08,Assignment,Zadaća: 3,Submission status viewed
SYN2024_001,2024-11-03 18:49:39,Assignment,Zadaća: 2,Submission status viewed
SYN2024_001,2024-11-05 18:40:01,Assignment,Zadaća: 3,Assignment submitted
SYN2024_001,2024-11-05 21:09:10,File,Datoteka: 8 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-06 18:26:16,Forum,Course forum,Discussion viewed
SYN2024_001,2024-11-09 16:38:01,Quiz,Test: 3,Quiz attempt viewed
SYN2024_001,2024-11-09 17:22:14,File,Datoteka: 4 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-09 21:43:20,File,Datoteka: 5 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-11 15:06:20,File,Datoteka: 7 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-14 16:52:21,File,Datoteka: 5 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-18 14:06:28,Assignment,Zadaća: 3,Submission status viewed
SYN2024_001,2024-11-18 18:51:25,File,Datoteka: 8 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-19 15:42:36,Assignment,Zadaća: 1,Submission status viewed
SYN2024_001,2024-11-22 14:46:47,Assignment,Zadaća: 2,Submission status viewed
SYN2024_001,2024-11-23 17:46:17,File,Datoteka: 3 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-23 18:06:33,Assignment,Zadaća: 1,Assignment submitted
SYN2024_001,2024-11-28 15:51:01,File,Datoteka: 7 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 08:49:46,File,Datoteka: 1 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 09:44:01,File,Datoteka: 3 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 12:33:16,File,Datoteka: 6 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 15:21:13,File,Datoteka: 5 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 15:46:53,File,Datoteka: 2 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 15:56:15,File,Datoteka: 1 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 16:14:39,File,Datoteka: 8 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 17:39:47,File,Datoteka: 6 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 19:03:46,File,Datoteka: 4 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 19:32:06,Forum,Course forum,Discussion viewed
SYN2024_001,2024-11-29 19:33:04,File,Datoteka: 6 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 20:10:47,File,Datoteka: 1 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 21:35:55,File,Datoteka: 8 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 21:51:05,File,Datoteka: 7 - Learning material.pdf,Course module viewed
SYN2024_001,2024-11-29 22:08:37,Quiz,Test: 3,Quiz attempt viewed
SYN2024_001,2024-11-30 13:18:28,File,Datoteka: 5 - Learning material.pdf,Course module viewed
