date,pm10,pm2_5,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
2023-10-09,28.71,12.27,7.99,3.28,10.53,0.88,0.0,348.11,14.19,20.22,1015.49
2023-10-10,28.02,12.84,9.06,6.38,12.63,0.73,0.0,4.62,8.79,15.07,1030.6
2023-10-11,20.87,20.35,7.69,4.65,12.53,3.88,0.0,324.16,10.52,14.61,1020.05
2023-10-12,33.48,15.78,10.29,7.72,14.48,0.81,0.0,133.97,7.52,10.99,1028.95
2023-10-13,23.87,11.84,9.91,6.35,12.89,0.0,0.0,325.69,8.67,11.7,1007.98
2023-10-14,20.44,14.03,6.38,1.5,11.04,0.0,0.0,340.94,13.88,17.71,1024.96
2023-10-15,23.14,19.21,8.63,5.15,12.43,0.2,0.0,67.77,13.86,16.39,1010.69
2023-10-16,12.26,5.78,7.13,2.69,9.53,0.0,0.0,275.77,11.76,14.64,1007.63
2023-10-17,32.78,13.99,3.63,1.24,6.47,0.4,0.0,199.72,8.93,9.35,1016.92
2023-10-18,28.99,16.98,5.72,1.73,10.18,0.4,0.0,345.05,6.69,13.13,1027.12
2023-10-19,16.7,11.06,6.87,2.8,10.68,4.92,0.0,77.95,6.82,6.9,1028.13
2023-10-20,33.92,19.5,3.61,-0.39,5.99,0.6,0.14,66.12,7.15,11.94,1009.18
2023-10-21,26.98,15.97,7.38,5.28,9.74,0.0,0.0,120.65,3.24,6.4,1022.31
2023-10-22,27.43,10.3,6.89,2.73,11.04,0.0,0.44,226.19,11.06,19.91,1025.09
2023-10-23,33.62,17.5,6.4,2.48,9.9,2.96,0.88,103.96,12.26,19.53,1020.46
2023-10-24,25.22,7.07,5.21,2.58,9.9,0.0,0.64,198.5,10.8,16.13,1019.29
2023-10-25,21.63,16.51,4.83,1.35,8.75,0.72,0.0,111.89,12.79,15.64,1016.5
2023-10-26,17.38,6.85,4.68,1.79,8.71,0.0,0.0,279.67,5.35,8.89,1010.22
2023-10-27,33.34,18.98,2.34,-0.36,7.32,0.14,1.01,266.36,14.87,21.83,1021.23
2023-10-28,26.48,16.9,2.22,-1.33,4.26,0.32,1.35,212.91,9.63,14.82,1001.87
2023-10-29,13.29,8.83,0.83,-3.83,5.47,1.81,0.0,187.95,7.94,13.88,1014.9
2023-10-30,30.91,18.94,3.15,0.77,6.68,0.07,0.0,120.85,6.91,12.26,1016.46
2023-10-31,26.98,10.29,4.82,0.29,8.35,0.0,0.69,69.54,7.23,12.76,1016.36
2023-11-01,37.06,14.05,2.13,-2.11,5.08,3.0,0.0,293.99,10.19,13.34,1015.36
2023-11-02,29.23,10.59,4.4,-0.49,9.21,0.0,0.83,52.94,10.26,14.8,1007.31
2023-11-03,26.74,14.52,3.79,-0.4,6.02,0.0,0.0,168.37,8.45,12.65,1018.5
2023-11-04,30.26,13.09,5.01,0.39,7.29,1.27,0.35,346.46,9.32,14.83,1017.91
2023-11-05,32.23,20.43,2.61,0.47,5.91,6.62,0.0,334.91,7.81,11.13,1012.53
2023-11-06,28.51,19.42,4.27,1.42,8.76,5.85,0.0,78.48,10.07,15.02,1016.64
2023-11-07,27.68,18.32,5.25,1.03,7.89,0.0,0.56,248.15,11.68,16.11,1012.21
2023-11-08,24.7,15.55,5.32,1.48,9.73,0.0,0.0,119.19,6.67,9.75,1011.7
2023-11-09,27.84,18.3,5.04,2.14,8.28,6.68,0.0,170.04,13.92,20.88,1010.38
2023-11-10,28.31,24.86,6.41,1.52,8.68,0.0,0.0,119.12,6.49,11.31,1017.03
2023-11-11,26.84,15.9,2.74,-0.81,5.44,0.0,0.0,246.25,15.74,20.85,1016.88
2023-11-12,31.33,6.58,5.78,1.3,10.44,0.0,0.0,82.98,10.02,15.82,1008.12
2023-11-13,10.28,7.58,3.04,0.64,6.83,0.17,0.0,251.49,10.58,18.09,1010.59
2023-11-14,15.46,13.68,7.55,2.86,10.47,0.0,0.0,138.47,11.77,19.74,1010.06
2023-11-15,30.89,15.44,5.09,0.13,8.58,1.43,0.0,41.5,6.12,15.23,1021.65
2023-11-16,31.59,5.33,5.45,2.6,10.26,0.0,0.0,60.29,11.47,17.54,1016.26
2023-11-17,30.92,12.06,8.85,4.31,13.16,0.0,0.0,194.93,11.27,17.8,1005.18
2023-11-18,35.14,8.61,7.74,3.93,12.31,5.84,0.0,181.03,14.21,19.07,1017.94
2023-11-19,34.35,13.93,7.56,3.55,12.37,0.0,0.0,227.99,12.75,13.96,1013.82
2023-11-20,20.12,8.41,6.0,3.91,8.49,0.0,0.0,212.03,11.56,16.74,1036.57
2023-11-21,33.95,15.95,9.23,6.79,13.55,3.65,0.0,182.55,13.57,17.95,1022.45
2023-11-22,25.38,13.48,8.98,6.7,13.4,0.0,0.0,219.19,7.67,14.99,1010.31
2023-11-23,28.89,16.62,8.75,4.55,12.89,0.0,0.0,347.11,13.1,14.79,1013.9
2023-11-24,26.62,7.9,10.03,5.9,12.56,0.43,0.0,144.16,10.93,18.36,1021.25
2023-11-25,28.54,14.3,7.19,2.72,11.97,1.76,0.0,326.92,9.46,16.46,1018.19
2023-11-26,23.36,14.1,9.18,6.27,14.15,3.94,0.0,334.31,11.06,14.18,1014.52
2023-11-27,15.22,9.82,9.02,6.23,12.5,0.0,0.08,194.75,9.57,13.38,1004.62
2023-11-28,17.93,14.18,11.12,7.84,15.37,0.0,0.37,193.25,7.97,9.6,1022.65
2023-11-29,21.0,13.03,10.13,6.93,13.86,0.03,0.0,28.0,5.3,14.38,1014.5
2023-11-30,27.22,17.96,10.67,8.38,15.26,0.9,0.0,289.86,9.59,15.73,1023.64
2023-12-01,11.59,11.36,11.99,8.74,14.85,0.18,0.0,95.7,11.31,18.02,1033.75
2023-12-02,21.97,10.91,12.62,9.06,17.21,2.59,0.0,307.21,8.9,11.47,1022.86
2023-12-03,23.73,12.08,8.45,3.67,12.06,0.0,0.0,185.11,10.21,10.45,1010.76
2023-12-04,20.88,19.67,10.91,8.09,14.6,3.12,0.0,275.9,14.28,23.1,1017.51
2023-12-05,20.2,8.73,7.58,2.64,9.64,0.0,0.0,79.12,10.92,15.77,1008.62
2023-12-06,28.57,12.67,12.44,9.89,15.75,1.3,0.0,324.8,8.99,16.83,1023.04
2023-12-07,25.82,10.55,6.41,3.63,11.23,0.0,0.0,66.42,9.34,14.09,1005.2
2023-12-08,30.8,17.64,10.27,6.92,13.47,1.58,0.0,21.99,9.67,16.63,1016.43
2023-12-09,21.79,16.69,8.01,3.93,12.69,1.67,0.0,300.03,7.74,11.15,1004.2
2023-12-10,16.58,13.12,10.04,5.86,13.07,1.44,0.0,226.1,3.05,6.15,1007.65
2023-12-11,22.79,9.48,4.24,-0.1,8.09,0.48,0.0,208.46,9.29,14.72,1014.46
2023-12-12,35.02,21.68,7.61,3.27,10.25,3.53,0.0,131.55,11.94,20.39,1011.85
2023-12-13,16.59,16.53,5.02,0.05,9.08,0.0,0.0,227.78,13.84,20.72,1018.97
2024-09-29,38.59,13.37,12.46,9.73,16.83,0.0,0.0,72.36,4.94,9.48,1028.46
2024-09-30,27.36,12.28,11.49,7.7,15.53,1.61,0.0,204.23,4.16,11.32,1026.38
2024-10-01,27.72,18.5,7.3,3.1,10.52,0.0,0.0,346.75,14.18,21.39,1018.76
2024-10-02,32.67,16.19,7.87,4.49,10.29,3.37,0.0,150.68,8.47,14.82,999.3
2024-10-03,29.62,20.22,10.64,8.49,15.58,8.83,0.0,56.94,9.74,14.27,1015.98
2024-10-04,23.09,6.56,6.85,1.94,9.79,0.78,0.0,325.35,9.65,14.55,1012.73
2024-10-05,19.65,15.75,3.14,-0.77,6.05,0.25,1.13,265.32,9.52,14.98,1007.54
2024-10-06,34.03,16.38,7.27,3.54,11.4,0.61,0.0,55.97,8.95,16.72,1013.85
2024-10-07,28.89,16.68,9.68,5.84,11.72,3.8,0.0,144.61,9.9,11.27,1005.89
2024-10-08,25.98,15.17,6.1,2.0,8.91,7.34,0.0,239.33,10.37,11.05,1019.09
2024-10-09,29.34,8.91,6.33,2.64,10.61,1.2,0.67,202.28,11.25,14.91,1005.49
2024-10-10,11.76,11.72,5.63,2.57,9.62,2.96,0.0,160.92,10.75,18.74,1028.1
2024-10-11,19.31,18.73,7.08,4.79,10.86,1.12,0.0,68.33,6.53,13.41,1024.66
2024-10-12,21.96,9.59,3.53,0.23,7.18,0.0,0.0,216.52,12.62,15.06,1013.66
2024-10-13,24.84,14.57,6.07,3.55,9.02,0.73,0.28,295.09,4.87,10.99,1011.39
2024-10-14,29.72,8.38,5.33,2.92,9.12,3.82,0.0,316.51,10.59,12.43,1022.43
2024-10-15,25.66,16.64,2.33,-1.72,4.5,1.26,0.0,178.58,8.98,12.51,1019.04
2024-10-16,21.9,10.29,2.13,0.05,5.89,1.38,0.0,109.3,6.59,11.11,1016.74
2024-10-17,16.44,12.59,4.24,1.27,8.4,0.66,0.0,251.62,15.22,15.42,1023.88
2024-10-18,30.04,15.36,2.0,-0.54,4.13,0.0,0.0,337.84,10.86,17.63,1009.38
2024-10-19,16.46,12.01,2.04,-1.96,4.67,0.0,0.12,28.93,9.51,13.06,1016.35
2024-10-20,24.28,12.32,2.77,0.31,5.88,0.0,0.0,29.29,6.84,12.1,1008.43
2024-10-21,21.33,10.9,4.2,-0.71,8.19,0.0,0.0,4.6,6.92,7.74,1019.5
2024-10-22,26.86,11.79,2.86,-0.0,7.52,1.2,0.0,299.17,10.72,15.53,1018.94
2024-10-23,25.15,21.1,4.13,0.37,8.97,1.41,0.0,140.9,9.88,15.89,1015.22
